code,name,price,hsl,估算日额万,mktcap亿
300740,水羊股份,22.59,6.57,60704.0,99.37
002440,闰土股份,13.3,4.82,60610.0,149.49
002100,天康生物,8.41,5.27,60529.0,114.82
688508,芯朋微,82.89,5.5,60418.0,109.76
300331,苏大维格,47.2,5.75,60262.0,122.56
603978,深圳新星,21.9,12.97,59963.0,46.23
688507,索辰科技,147.0,8.25,59730.0,130.99
300917,特发服务,28.96,12.19,59677.0,48.94
000700,模塑科技,11.1,5.85,59631.0,101.9
300166,东方国信,12.66,5.02,59156.0,144.17
000534,万泽股份,24.92,4.69,58936.0,126.98
603031,安孚科技,39.44,4.55,58801.0,147.44
300191,潜能恒信,36.66,7.18,58217.0,117.31
002970,锐明技术,48.5,9.1,58083.0,89.5
300951,博硕科技,80.88,4.69,57393.0,137.01
600551,时代出版,8.05,10.51,57350.0,54.58
300302,同有科技,27.18,5.68,57329.0,130.26
605188,国光连锁,14.3,7.85,56996.0,72.61
688090,瑞松科技,66.99,5.33,56638.0,106.33
300663,科蓝软件,8.98,13.68,56550.0,42.97
000676,智度股份,7.1,6.32,56514.0,89.45
300363,博腾股份,19.67,5.75,56435.0,106.9
002796,世嘉科技,28.45,8.7,56360.0,71.8
603690,至纯科技,23.29,6.32,56333.0,89.19
301150,中一科技,36.11,5.12,56133.0,116.96
688202,美迪西,93.24,4.46,55930.0,125.27
002284,亚太股份,10.25,7.45,55924.0,75.76
300687,赛意信息,28.85,5.77,55919.0,117.83
300369,绿盟科技,7.97,8.63,55609.0,64.61
002632,道明光学,9.53,10.15,55588.0,59.52
300785,值得买,36.38,11.74,55572.0,72.34
002882,金龙羽,24.3,9.24,55453.0,105.19
600338,西藏珠峰,13.48,4.49,55393.0,123.24
601595,上海电影,18.75,6.59,55361.0,84.04
002706,良信股份,9.66,6.26,55299.0,108.49
000417,合百集团,6.3,11.25,55228.0,49.13
002212,天融信,6.65,7.1,55099.0,78.43
300130,新国都,20.22,6.27,55097.0,114.71
603318,水发燃气,9.34,12.84,55069.0,51.81
300214,日科化学,11.65,10.15,54971.0,54.16
688559,海目星,53.49,4.13,54780.0,132.53
300852,四会富仕,48.33,7.3,54636.0,77.58
600903,贵州燃气,6.75,6.95,54630.0,78.57
301373,凌玮科技,95.73,8.14,54263.0,103.84
300005,探路者,10.67,5.78,54048.0,94.29
603078,江化微,31.53,4.44,54004.0,121.59
301021,英诺激光,69.83,5.05,53871.0,106.75
300996,普联软件,14.02,11.49,53646.0,55.49
688655,迅捷兴,42.1,9.53,53522.0,56.16
002631,德尔未来,11.01,6.11,53396.0,87.78
301292,海科新源,61.3,10.18,53165.0,136.57
300720,海川智能,62.51,4.61,53067.0,121.82
600228,返利科技,10.3,12.35,52922.0,42.92
605299,舒华体育,13.45,9.61,52686.0,54.83
300671,富满微,51.52,4.63,52667.0,114.06
300071,福石控股,4.32,12.89,52647.0,41.64
000823,超声电子,14.49,6.11,52643.0,86.21
002258,利尔化学,14.86,4.43,52562.0,118.94
601999,出版传媒,7.15,13.34,52527.0,39.39
002172,澳洋健康,4.21,16.25,52329.0,32.24
301013,利和兴,36.06,7.64,52134.0,84.29
300244,迪安诊断,17.78,5.83,51940.0,111.12
688535,华海诚科,94.48,4.1,51742.0,135.37
603399,永杉锂业,13.85,7.29,51702.0,70.95
300976,达瑞电子,58.96,7.27,51579.0,110.33
603686,福龙马,13.72,9.02,51393.0,57.0
002421,达实智能,3.38,7.46,51373.0,71.68
600936,北投科技,5.45,5.63,51231.0,91.07
300180,华峰超纤,4.87,6.11,51149.0,85.76
002115,三维通信,10.75,6.36,50982.0,86.54
000420,吉林化纤,3.82,5.42,50916.0,93.93
002251,步步高,3.8,6.01,50740.0,102.17
002965,祥鑫科技,29.97,7.11,50733.0,79.53
603696,安记食品,15.13,14.22,50604.0,35.59
300184,力源信息,11.71,4.11,50551.0,134.27
688158,优刻得-W,29.84,4.11,50320.0,137.47
300846,首都在线,19.27,6.27,50273.0,97.23
605577,龙版传媒,15.55,7.27,50251.0,69.11
002173,创新医疗,18.4,6.48,50204.0,81.2
601929,吉视传媒,2.52,5.7,50150.0,87.94
000059,华锦股份,5.75,5.45,50082.0,91.97
000796,凯撒旅业,4.37,8.6,50002.0,70.09
000520,凤凰航运,4.44,11.1,49894.0,44.94
300459,汤姆猫,3.76,4.04,49887.0,132.19
301697,C贝特利,27.45,41.21,49768.0,72.11
002274,华昌化工,6.12,8.62,49452.0,58.28
603363,傲农生物,3.28,7.02,49400.0,89.58
301366,一博科技,55.23,7.62,49212.0,115.73
000813,德展健康,3.43,6.83,49093.0,71.93
002036,联创电子,6.87,6.76,49004.0,72.66
603110,东方材料,25.9,9.39,48946.0,52.12
000735,罗 牛 山,6.13,6.91,48745.0,70.59
603897,长城科技,29.81,7.92,48745.0,61.54
002163,海南发展,9.11,6.66,48734.0,76.98
002645,华宏科技,17.47,4.1,48666.0,131.57
300795,米奥会展,13.84,20.1,48453.0,41.37
301629,矽电股份,268.8,9.36,48314.0,112.16
688222,成都先导,31.44,3.83,48266.0,125.97
600318,新力金融,7.34,12.8,48160.0,37.63
002617,露笑科技,6.11,4.2,48147.0,116.65
301500,飞南资源,24.92,13.41,48128.0,139.82
000949,新乡化纤,7.79,3.73,48121.0,129.07
601890,亚星锚链,9.15,5.47,48058.0,87.79
300192,科德教育,18.66,5.65,48032.0,85.99
300174,元力股份,18.15,7.27,47855.0,66.1
000880,潍柴重机,24.3,8.67,47852.0,112.72
300382,斯莱克,17.41,4.22,47656.0,112.89
688239,航宇科技,54.68,4.56,47605.0,104.39
688258,卓易信息,94.45,4.16,47590.0,114.42
300065,海兰信,15.62,4.64,47566.0,112.7
688598,金博股份,31.79,7.31,47338.0,65.99
301235,华康洁净,46.9,9.65,47177.0,65.31
300731,科创新源,45.0,6.23,47151.0,79.78
300225,金力泰,7.79,12.74,46874.0,37.04
001299,美能能源,11.7,14.11,46611.0,36.76
002896,中大力德,62.63,3.78,46584.0,123.08
603150,万朗磁塑,66.51,8.18,46529.0,56.85
688328,深科达,75.4,6.52,46412.0,71.22
301093,华兰股份,62.4,3.65,46407.0,132.99
301688,C格林生物,41.19,43.29,46338.0,54.92
603122,合富中国,13.56,8.57,46278.0,53.98
002471,中超控股,5.79,5.91,46010.0,79.25
688543,国科军工,42.89,4.27,45918.0,107.49
002298,中电鑫龙,8.62,8.01,45911.0,63.8
300566,激智科技,24.39,8.29,45851.0,63.93
603220,中贝通信,18.33,4.65,45751.0,98.31
003043,华亚智能,68.33,7.12,45724.0,98.4
688390,固德威,61.22,3.07,45708.0,148.84
603191,望变电气,15.8,8.76,45693.0,55.21
301607,富特科技,42.03,7.15,45630.0,98.4
603958,哈森股份,20.71,9.98,45355.0,45.43
603200,上海洗霸,41.1,6.27,45197.0,72.12
301127,武汉天源,17.35,3.97,45097.0,116.95
300970,华绿生物,19.28,18.79,44802.0,30.83
300313,天山生物,14.39,15.77,44799.0,34.5
300561,汇金科技,16.74,11.06,44618.0,54.93
002443,金洲管道,10.74,7.98,44618.0,55.91
002490,山东墨龙,7.79,10.55,44531.0,64.15
002279,久其软件,7.14,7.83,44490.0,61.56
300528,幸福蓝海,13.94,8.55,44417.0,51.94
301338,凯格精机,94.0,4.35,44394.0,140.02
300061,旗天科技,6.57,11.06,44306.0,43.3
000890,法尔胜,8.51,12.4,44259.0,35.7
603477,巨星农牧,16.19,5.36,44228.0,84.67
688260,昀冢科技,89.57,4.1,44109.0,107.48
002470,金正大,2.09,6.41,44048.0,68.68
002174,游族网络,12.18,3.68,43913.0,119.34
301389,隆扬电子,52.86,2.93,43865.0,149.86
002741,光华科技,22.85,4.46,43813.0,107.08
002585,双星新材,8.87,5.55,43667.0,101.24
600203,福日电子,11.0,6.68,43549.0,65.23
605277,新亚电子,16.96,6.65,43534.0,65.94
300348,长亮科技,10.42,5.71,43449.0,84.65
600821,金开新能,6.04,3.65,43381.0,118.83
002457,青龙管业,12.06,10.78,43371.0,40.22
002176,江特电机,8.71,2.93,43358.0,148.27
300153,科泰电源,22.82,5.96,43303.0,73.02
300792,壹网壹创,25.91,7.8,43269.0,61.58
301520,万邦医药,55.66,23.75,43227.0,51.86
002929,润建股份,50.65,3.94,43219.0,145.05
002177,御银股份,6.13,10.32,43198.0,46.66
603353,和顺石油,33.93,7.46,43111.0,57.82
002903,宇环数控,27.24,14.59,42755.0,42.4
300798,锦鸡股份,8.9,11.78,42534.0,43.89
600325,华发股份,2.63,5.87,42514.0,72.38
688600,皖仪科技,33.1,9.51,42423.0,44.59
688690,纳微科技,35.3,2.97,42401.0,142.55
301571,国科天成,64.55,5.49,42224.0,115.82
000635,英 力 特,7.69,14.96,42198.0,30.31
003036,泰坦股份,50.8,3.83,42094.0,110.04
600749,西藏旅游,15.49,11.95,42004.0,35.16
002779,中坚科技,80.72,3.13,41920.0,149.17
603257,中国瑞林,71.66,23.47,41881.0,85.99
300304,云意电气,11.97,4.09,41739.0,105.11
002987,京北方,12.26,3.32,41282.0,127.56
688181,八亿时空,36.65,8.44,41168.0,48.76
688515,裕太微-U,141.92,5.82,41166.0,113.54
002811,郑中设计,14.92,9.73,41088.0,45.95
600383,金地集团,2.39,3.81,41067.0,107.9
688530,欧莱新材,53.9,10.91,41049.0,86.26
603400,华之杰,53.6,21.09,40954.0,69.59
301095,广立微,70.19,3.34,40947.0,140.58
