code,name,mktcap亿,日额万,①毛利率升,②CapEx增(参考不计分),②在建同比(待核实),③OCF/净利,④预收增(代理),通过项数(①③④),净利同比%,备注,行业,画像判定
301305,朗坤科技,59.01,11970.0,False,False,?,True,True,2,30.67,观察,公用事业-环保-环保,剔除(公用/环保)
300190,维尔利,38.59,16559.0,True,False,?,True,?,2,187.4,观察,公用事业-环保-环保,剔除(公用/环保)
600227,赤天化,72.45,131748.0,True,False,?,True,True,3,179.275500180513,晋级,基础化工-化肥农药-氮肥,剔除(农业)
002250,联化科技,138.67,19654.0,True,False,?,True,?,2,64.41,观察,基础化工-化肥农药-农药,剔除(农业)
002458,益生股份,130.38,66720.0,False,False,?,True,True,2,4897.29,观察,农林牧渔-畜牧业-养殖,剔除(农业)
002170,芭田股份,114.0,27286.0,True,False,?,True,?,2,32.23,观察,基础化工-化肥农药-复合肥,剔除(农业)
002274,华昌化工,58.28,49452.0,True,False,?,True,?,2,1026.9,观察,基础化工-化肥农药-复合肥,剔除(农业)
600540,新赛股份,35.52,110995.0,?,False,?,True,True,2,1819.68,观察,农林牧渔-农业-种植业,剔除(农业)
688202,美迪西,125.27,55930.0,True,False,?,True,?,2,500.06985897934,观察,医药生物-生物医药-生物医药,剔除(医药-服务/流通)
603882,金域医学,123.69,20452.0,True,False,?,True,?,2,324.27,观察,医药生物-医疗服务-医疗服务,剔除(医药-服务/流通)
688710,益诺思,112.36,30849.0,True,False,?,True,False,2,357.892995808397,观察,医药生物-生物医药-生物医药,剔除(医药-服务/流通)
300244,迪安诊断,111.12,51940.0,True,True,?,True,?,2,2160.87,观察,医药生物-医药商业-医药商业,剔除(医药-服务/流通)
300725,药石科技,99.91,63724.0,True,False,?,True,False,2,37.17,观察,医药生物-生物医药-生物医药,剔除(医药-服务/流通)
688293,奥浦迈,77.67,15697.0,True,False,?,True,?,2,230.34,观察,医药生物-生物医药-生物医药,剔除(医药-服务/流通)
688656,浩欧博,66.36,8727.0,True,False,?,True,False,2,37.05,观察,医药生物-生物医药-生物医药,剔除(医药-服务/流通)
688073,毕得医药,53.25,17395.0,True,False,?,True,?,2,40.73,观察,医药生物-生物医药-生物医药,剔除(医药-服务/流通)
603139,康惠股份,38.92,6244.0,True,False,?,True,?,2,122.616010565338,观察,医药生物-中药生产-中药生产,剔除(医药-服务/流通)
300139,晓程科技,142.37,204264.0,False,False,?,True,True,2,31.24,观察,有色金属-贵金属-黄金,剔除(周期-资源)
600508,上海能源,113.52,75170.0,True,False,?,True,?,2,38.02,观察,化石能源-煤炭-煤炭开采洗选,剔除(周期-资源)
600971,恒源煤电,107.28,14071.0,True,False,?,True,?,2,224.789940924094,观察,化石能源-煤炭-煤炭开采洗选,剔除(周期-资源)
600123,兰花科创,103.86,13740.0,True,False,?,True,?,2,44.6,观察,化石能源-煤炭-煤炭开采洗选,剔除(周期-资源)
000560,我爱我家,74.2,245931.0,True,False,?,True,False,2,110.39,观察,房地产-房地产服务-房地产服务,剔除(地产)
600638,新黄浦,34.07,8038.0,True,False,?,True,False,2,108.44,观察,房地产-房地产开发-房地产开发,剔除(地产)
000526,学大教育,45.26,12293.0,True,False,?,True,True,3,30.85,晋级,文化传媒-教育-教育信息化服务,剔除(消费-服务)
002354,天娱数科,139.81,523639.0,True,True,?,True,?,2,72.41,观察,文化传媒-营销服务-营销服务,剔除(消费-服务)
603099,长白山,104.86,28087.0,False,False,?,True,True,2,161.84,观察,休闲、生活及专业服务-休闲服务-旅游服务,剔除(消费-服务)
300031,宝通科技,86.76,34265.0,True,False,?,True,?,2,37.4,观察,互联网-互联网服务-其他互联网服务,剔除(消费-服务)
300592,华凯易佰,65.34,16685.0,True,False,?,True,?,2,349.09,观察,互联网-互联网商务-电子商务B2B,剔除(消费-服务)
301073,君亭酒店,39.53,19700.0,False,False,?,True,True,2,54.04,观察,休闲、生活及专业服务-休闲服务-酒店,剔除(消费-服务)
003032,传智教育,39.12,90009.0,True,False,?,True,?,2,577.83,观察,文化传媒-教育-教育信息化服务,剔除(消费-服务)
603608,天创时尚,89.04,35778.0,True,False,?,True,True,3,316.2,晋级,纺织服装-服装家纺-服装,剔除(消费-轻工)
603600,永艺股份,34.37,9541.0,True,False,?,True,True,3,3.25,晋级,轻工制造-家具-家具制造,剔除(消费-轻工)
600315,上海家化,125.17,22882.0,True,False,?,True,?,2,43.35,观察,基础化工-化学制品-日用化学品,剔除(消费-轻工)
002083,孚日股份,93.72,33050.0,True,False,?,True,?,2,64.01,观察,纺织服装-纺织-棉纺,剔除(消费-轻工)
603001,奥康国际,35.97,14553.0,False,False,?,True,True,2,119.09318355053,观察,纺织服装-服装家纺-服饰辅料,剔除(消费-轻工)
600872,中炬高新,143.32,19857.0,True,False,?,True,?,2,61.25,观察,食品饮料-食品-调味品,剔除(消费-食饮)
000523,红棉股份,61.86,20854.0,True,False,?,True,False,2,127.05,观察,食品饮料-食品-调味品,剔除(消费-食饮)
603719,良品铺子,38.41,5377.0,False,False,?,True,True,2,117.310356429695,观察,食品饮料-食品-食品综合,剔除(消费-食饮)
688365,光云科技,65.61,32203.0,True,True,?,True,True,3,196.095766858281,晋级,信息技术-计算机软件-其他软件服务,剔除(软件/IT服务)
301095,广立微,140.58,40947.0,True,False,?,True,?,2,121.73,观察,信息技术-计算机软件-其他软件服务,剔除(软件/IT服务)
003010,若羽臣,98.29,22809.0,True,True,?,True,?,2,131.72,观察,商贸零售-商业物业经营-专业市场,剔除(零售/贸易)
603353,和顺石油,57.82,43111.0,True,False,?,True,False,2,480.48,观察,化石能源-石油天然气-石油天然气贸易,剔除(零售/贸易)
001316,润贝航科,48.64,23801.0,True,False,?,True,?,2,44.82,观察,商贸零售-贸易-贸易,剔除(零售/贸易)
301026,浩通科技,46.0,13442.0,True,False,?,True,?,2,73.41,观察,商贸零售-贸易-贸易,剔除(零售/贸易)
