code,name,mktcap亿,日额万,①毛利率升,②CapEx增(代理),②在建同比(待核实),③OCF/净利,④预收增(代理),通过项数,备注
301055,张小泉,42.15,10732.0,True,False,?,True,False,2,淘汰
600509,天富能源,102.39,10688.0,True,False,?,True,False,2,淘汰
300809,华辰装备,60.6,10654.0,True,False,?,True,?,2,观察
301662,宏工科技,72.73,20341.0,True,False,?,True,?,2,观察
000601,韶能股份,65.65,20175.0,True,False,?,True,?,2,观察
301120,新特电气,56.16,20127.0,True,False,?,True,False,2,观察
688376,美埃科技,84.33,10214.0,True,True,?,False,?,2,淘汰
002218,拓日新能,56.05,10143.0,True,False,?,?,True,2,淘汰
301376,致欧科技,95.79,21944.0,True,False,?,True,?,2,淘汰
002597,金禾实业,119.74,21440.0,True,False,?,True,?,2,淘汰
300121,阳谷华泰,42.48,10350.0,True,False,?,True,?,2,淘汰
600351,亚宝药业,46.09,10309.0,False,False,?,True,True,2,淘汰
002263,大东南,59.17,10308.0,True,False,?,True,?,2,淘汰
001380,华纬科技,48.62,6069.0,True,False,?,True,?,2,淘汰
000505,京粮控股,51.32,64545.0,True,False,?,True,False,2,淘汰
002626,金达威,101.86,10577.0,True,False,?,True,?,2,淘汰
000523,红棉股份,61.86,20854.0,True,False,?,True,False,2,观察
000965,天保基建,37.4,20839.0,False,False,?,True,True,2,淘汰
002807,江阴银行,114.26,20747.0,?,True,?,True,?,2,淘汰
002846,英联股份,46.33,10413.0,True,False,?,True,?,2,淘汰
300727,润禾材料,54.94,20512.0,False,True,?,True,?,2,淘汰
001316,润贝航科,48.64,23801.0,True,False,?,True,?,2,观察
002075,沙钢股份,81.17,9842.0,True,False,?,True,?,2,淘汰
002986,宇新股份,51.39,9809.0,True,False,?,True,?,2,观察
300715,凯伦股份,53.68,9805.0,True,False,?,True,?,2,淘汰
002164,宁波东力,57.1,9785.0,False,True,?,False,True,2,淘汰
002520,日发精机,48.02,23411.0,True,False,?,True,?,2,观察
600075,新疆天业,84.71,22953.0,True,False,?,True,?,2,观察
003010,若羽臣,98.29,22809.0,False,True,?,True,?,2,观察
603330,天洋新材,45.6,62876.0,True,False,?,True,False,2,观察
603319,美湖股份,98.9,62479.0,True,False,?,True,?,2,淘汰
300740,水羊股份,99.37,60704.0,True,False,?,True,?,2,淘汰
000700,模塑科技,101.9,59631.0,True,False,?,True,?,2,淘汰
600825,新华传媒,55.48,9867.0,True,False,?,True,False,2,淘汰
603665,康隆达,35.59,10125.0,True,False,?,True,?,2,淘汰
002256,兆新股份,67.34,10275.0,True,True,?,False,?,2,淘汰
301076,新瀚新材,49.63,10245.0,True,False,?,True,?,2,淘汰
002106,莱宝高科,75.66,25474.0,True,False,?,True,False,2,淘汰
600844,金煤科技,37.2,25324.0,True,False,?,True,?,2,观察
603305,旭升集团,129.9,24134.0,True,False,?,True,?,2,淘汰
300357,我武生物,114.98,25131.0,True,False,?,True,?,2,淘汰
600644,乐山电力,52.92,24955.0,True,False,?,True,?,2,淘汰
603199,九华旅游,37.73,9550.0,True,False,?,True,?,2,淘汰
603927,中科软,116.43,14133.0,True,False,?,False,True,2,淘汰
300827,上能电气,133.83,23748.0,True,True,?,False,?,2,淘汰
603139,康惠股份,38.92,6244.0,True,False,?,True,?,2,观察
000718,苏宁环球,60.39,6237.0,True,False,?,True,False,2,淘汰
603587,地素时尚,61.4,6224.0,True,False,?,True,?,2,淘汰
603031,安孚科技,147.44,58801.0,False,True,?,True,?,2,观察
002906,华阳集团,149.34,24425.0,False,False,?,True,True,2,淘汰
603499,翔港科技,58.16,9769.0,False,False,?,True,True,2,淘汰
002301,齐心集团,57.85,9718.0,True,False,?,True,?,2,淘汰
300840,酷特智能,48.74,24071.0,True,False,?,True,False,2,淘汰
603456,九洲药业,132.87,26933.0,True,False,?,True,False,2,淘汰
000980,众泰汽车,82.19,26912.0,False,True,?,True,?,2,观察
002455,百川股份,55.7,26900.0,True,False,?,True,?,2,观察
688136,科兴制药,41.08,8969.0,False,True,?,False,True,2,淘汰
300606,金太阳,49.2,25811.0,True,False,?,True,?,2,淘汰
300973,立高食品,45.86,9284.0,True,False,?,True,False,2,淘汰
688202,美迪西,125.27,55930.0,True,False,?,True,?,2,观察
600698,湖南天雁,84.53,62003.0,True,False,?,True,?,2,观察
601595,上海电影,84.04,55361.0,False,True,?,False,True,2,淘汰
603988,中电电机,45.51,9451.0,True,False,?,True,?,2,淘汰
301538,骏鼎达,44.92,9444.0,False,True,?,True,?,2,淘汰
600017,日照港,87.66,9402.0,True,False,?,True,False,2,淘汰
600979,广安爱众,49.56,9356.0,True,False,?,True,?,2,淘汰
002793,罗欣药业,51.88,9329.0,True,False,?,True,?,2,观察
603901,永创智能,56.98,9301.0,True,False,?,True,?,2,观察
002077,大港股份,71.32,25545.0,True,False,?,True,False,2,观察
603135,中重科技,57.15,8745.0,True,False,?,True,?,2,观察
688320,禾川科技,49.37,8732.0,True,False,?,True,?,2,观察
688656,浩欧博,66.36,8727.0,True,False,?,True,False,2,观察
603767,中马传动,43.67,8726.0,True,False,?,True,?,2,淘汰
002825,纳尔股份,33.65,8725.0,False,True,?,True,?,2,淘汰
300957,贝泰妮,142.37,28380.0,True,False,?,True,?,2,淘汰
000767,晋控电力,104.0,28296.0,True,False,?,True,?,2,淘汰
300981,中红医疗,70.76,28149.0,False,True,?,True,?,2,观察
000722,湖南发展,85.22,27538.0,True,False,?,True,False,2,观察
301448,开创电气,46.67,6263.0,True,False,?,True,?,2,观察
688219,会通股份,57.94,6361.0,False,True,?,True,?,2,淘汰
600035,楚天高速,59.74,6312.0,True,False,?,True,False,2,淘汰
600073,光明肉业,54.2,8876.0,True,True,?,False,?,2,淘汰
300506,名家汇,71.28,9081.0,True,True,?,?,?,2,淘汰
300685,艾德生物,66.83,9033.0,True,False,?,True,?,2,淘汰
300820,英杰电气,123.92,27053.0,True,False,?,True,?,2,淘汰
300471,厚普股份,46.59,8475.0,True,False,?,False,True,2,淘汰
301565,中仑新材,76.72,8466.0,True,False,?,True,?,2,观察
002860,星帅尔,62.15,29881.0,False,True,?,True,?,2,淘汰
688138,清溢光电,105.74,29417.0,True,False,?,True,?,2,淘汰
300720,海川智能,121.82,53067.0,True,True,?,False,?,2,淘汰
002613,北玻股份,37.86,6463.0,False,True,?,True,?,2,淘汰
301588,美新科技,33.51,6420.0,True,False,?,True,?,2,淘汰
300244,迪安诊断,111.12,51940.0,True,False,?,True,?,2,观察
603099,长白山,104.86,28087.0,False,False,?,True,True,2,观察
002012,凯恩股份,33.11,8677.0,True,True,?,False,?,2,淘汰
688252,天德钰,85.36,8643.0,False,True,?,True,?,2,淘汰
002004,华邦健康,88.11,8634.0,True,False,?,True,False,2,淘汰
600771,广誉远,67.21,8621.0,False,True,?,True,?,2,淘汰
300859,西域旅游,44.76,28897.0,False,False,?,True,True,2,淘汰
600184,光电股份,103.73,28785.0,True,False,?,True,?,2,淘汰
002955,鸿合科技,92.12,28730.0,True,True,?,False,?,2,淘汰
001311,多利科技,69.55,8231.0,True,False,?,True,?,2,淘汰
301239,普瑞眼科,50.54,8187.0,True,False,?,True,False,2,观察
002315,焦点科技,109.33,31841.0,True,False,?,True,False,2,淘汰
605118,力鼎光电,143.02,31777.0,True,False,?,True,?,2,观察
301122,采纳股份,55.5,31653.0,True,False,?,True,?,2,淘汰
000912,泸天化,66.01,31315.0,True,False,?,True,?,2,淘汰
688710,益诺思,112.36,30849.0,True,False,?,True,False,2,观察
300180,华峰超纤,85.76,51149.0,True,False,?,True,?,2,淘汰
002251,步步高,102.17,50740.0,True,False,?,True,?,2,淘汰
300529,健帆生物,124.26,8295.0,True,False,?,True,?,2,淘汰
603367,辰欣药业,65.56,8279.0,True,False,?,True,?,2,淘汰
002590,万安科技,52.06,8255.0,True,False,?,True,?,2,淘汰
600617,国新能源,64.82,8526.0,True,False,?,True,?,2,观察
301178,天亿马,31.73,8515.0,True,False,?,True,?,2,淘汰
000993,闽东电力,49.14,30239.0,True,False,?,True,False,2,淘汰
600792,云煤能源,44.17,30017.0,True,False,?,?,True,2,淘汰
300801,泰和科技,47.73,7992.0,False,True,?,True,?,2,观察
300885,海昌新材,48.12,8130.0,False,True,?,True,False,2,观察
000430,张家界,61.94,33309.0,True,False,?,False,True,2,淘汰
000520,凤凰航运,44.94,49894.0,True,False,?,True,?,2,观察
